iter	Passed	Remaining
1484	6650	15741
1485	6655	15737
1486	6659	15732
1487	6664	15729
1488	6670	15728
1489	6675	15725
1490	6679	15720
1491	6684	15716
1492	6688	15711
1493	6694	15709
1494	6698	15705
1495	6703	15700
1496	6708	15698
1497	6713	15693
1498	6717	15689
1499	6722	15686
1500	6728	15683
1501	6732	15678
1502	6737	15675
1503	6742	15672
1504	6746	15667
1505	6751	15663
1506	6756	15659
1507	6760	15655
1508	6764	15650
1509	6769	15646
1510	6774	15643
1511	6780	15641
1512	6784	15636
1513	6790	15635
1514	6798	15638
1515	6807	15643
1516	6812	15641
1517	6818	15640
1518	6824	15638
1519	6828	15634
1520	6833	15630
1521	6841	15633
1522	6845	15628
1523	6852	15628
1524	6858	15628
1525	6866	15630
1526	6871	15628
1527	6876	15624
1528	6881	15622
1529	6887	15621
1530	6892	15618
1531	6899	15618
1532	6905	15617
1533	6911	15615
1534	6916	15613
1535	6921	15610
1536	6927	15608
1537	6933	15606
1538	6938	15603
1539	6944	15601
1540	6949	15598
1541	6953	15593
1542	6959	15591
1543	6963	15586
1544	6969	15586
1545	6974	15583
1546	6982	15584
1547	6988	15585
1548	6994	15583
1549	7000	15581
1550	7005	15577
1551	7011	15577
1552	7016	15573
1553	7021	15569
1554	7026	15567
1555	7031	15562
1556	7035	15558
1557	7040	15554
1558	7044	15549
1559	7049	15545
1560	7054	15541
1561	7058	15536
1562	7066	15538
1563	7072	15536
1564	7076	15531
1565	7080	15527
1566	7089	15530
1567	7093	15525
1568	7097	15520
1569	7102	15517
1570	7108	15514
1571	7113	15511
1572	7119	15510
1573	7124	15507
1574	7128	15501
1575	7133	15499
1576	7138	15495
1577	7143	15490
1578	7147	15486
1579	7152	15481
1580	7157	15479
1581	7162	15474
1582	7166	15468
1583	7171	15465
1584	7177	15465
1585	7181	15459
1586	7187	15457
1587	7192	15454
1588	7196	15448
1589	7202	15446
1590	7207	15442
1591	7211	15437
1592	7215	15432
1593	7219	15427
1594	7224	15422
1595	7228	15416
1596	7232	15411
1597	7236	15406
1598	7240	15401
1599	7246	15398
1600	7250	15393
1601	7255	15389
1602	7259	15384
1603	7264	15380
1604	7268	15375
1605	7272	15370
1606	7278	15367
1607	7282	15362
1608	7287	15358
1609	7291	15353
1610	7295	15347
1611	7300	15343
1612	7304	15338
1613	7309	15334
1614	7313	15328
1615	7317	15322
1616	7321	15318
1617	7326	15313
1618	7331	15310
1619	7335	15305
1620	7340	15300
1621	7345	15297
1622	7349	15292
1623	7354	15289
1624	7361	15288
1625	7365	15283
1626	7371	15282
1627	7376	15279
1628	7381	15275
1629	7385	15270
1630	7390	15266
1631	7395	15262
1632	7400	15259
1633	7405	15255
1634	7409	15249
1635	7416	15250
1636	7422	15248
1637	7428	15246
1638	7432	15242
1639	7437	15237
1640	7442	15233
1641	7447	15230
1642	7453	15228
1643	7457	15222
1644	7462	15220
1645	7467	15215
1646	7471	15210
1647	7476	15206
1648	7481	15202
1649	7485	15198
1650	7490	15193
1651	7494	15188
1652	7499	15184
1653	7504	15181
1654	7509	15177
1655	7516	15179
1656	7522	15176
1657	7527	15173
1658	7532	15168
1659	7538	15168
1660	7545	15168
1661	7552	15168
1662	7556	15162
1663	7561	15159
1664	7568	15159
1665	7572	15153
1666	7576	15148
1667	7581	15145
1668	7585	15139
1669	7590	15134
1670	7593	15128
1671	7598	15124
1672	7602	15119
